Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
19.45,-9.528,0.258,,,,,,,,,,,,,,,,,
19.5,-9.544,0.245,,,,,,,,,,,,,,,,,
19.55,-9.557,0.242,,,,,,,,,,,,,,,,,
19.6,-9.566,0.239,,,,,,,,,,,,,,,,,
19.65,-9.576,0.239,,,,,,,,,,,,,,,,,
19.7,-9.588,0.245,,,,,,,,,,,,,,,,,
19.75,-9.601,0.251,,,,,,,,,,,,,,,,,
19.8,-9.616,0.264,,,,,,,,,,,,,,,,,
19.85,-9.635,0.276,,,,,,,,,,,,,,,,,
19.9,-9.657,0.292,,,,,,,,,,,,,,,,,
19.95,-9.686,0.308,,,,,,,,,,,,,,,,,
20,-9.714,0.32,,,,,,,,,,,,,,,,,
20.05,-9.748,0.333,,,,,,,,,,,,,,,,,
20.1,-9.786,0.339,,,,,,,,,,,,,,,,,
20.15,-9.821,0.346,,,,,,,,,,,,,,,,,
20.2,-9.861,0.349,,,,,,,,,,,,,,,,,
20.25,-9.902,0.346,,,,,,,,,,,,,,,,,
20.3,-9.937,0.342,,,,,,,,,,,,,,,,,
20.35,-9.975,0.333,,,,,,,,,,,,,,,,,
20.4,-10.006,0.324,,,,,,,,,,,,,,,,,
20.45,-10.037,0.311,,,,,,,,,,,,,,,,,
20.5,-10.063,0.298,,,,,,,,,,,,,,,,,
